neighbourhood,latitude,longitude,room_type,price,stars
Frederiksberg,55.67261,12.54216,Entire home/apt,1350,4
Vesterbro-Kongens Enghave,55.66978,12.54527,Entire home/apt,900,4
Indre By,55.67224,12.58674,Entire home/apt,5000,4
Nrrebro,55.69527,12.5591,Entire home/apt,1600,4
Vesterbro-Kongens Enghave,55.64473,12.5498,Entire home/apt,950,1
sterbro,55.7083,12.58267,Entire home/apt,450,4
Vesterbro-Kongens Enghave,55.66467,12.54712,Entire home/apt,2079,5
Nrrebro,55.70169,12.54086,Entire home/apt,800,1
Amager Vest,55.6667,12.57783,Entire home/apt,1500,4
Amager Vest,55.66441,12.58021,Private room,710,2
Nrrebro,55.69609,12.54869,Entire home/apt,818,2
Indre By,55.68522,12.5665,Entire home/apt,750,1
Vesterbro-Kongens Enghave,55.67026,12.55021,Entire home/apt,750,2
Frederiksberg,55.69436,12.53405,Entire home/apt,1250,1
Nrrebro,55.7023,12.55124,Entire home/apt,1528,2
Amager st,55.66488,12.61435,Entire home/apt,700,1
Vesterbro-Kongens Enghave,55.65374,12.55111,Entire home/apt,1500,2
Amager Vest,55.65767,12.6047,Entire home/apt,550,4
Amager Vest,55.64365,12.58349,Private room,330,5
Nrrebro,55.68858,12.55013,Entire home/apt,1200,1
Frederiksberg,55.68599,12.52986,Private room,479,1
Vesterbro-Kongens Enghave,55.66664,12.54821,Entire home/apt,700,5
Nrrebro,55.6942,12.55174,Entire home/apt,550,4
Frederiksberg,55.68476,12.53363,Entire home/apt,740,4
Amager st,55.6626,12.60402,Entire home/apt,1600,5
Frederiksberg,55.68995,12.52926,Entire home/apt,500,2
Vanlse,55.67884,12.48597,Entire home/apt,900,5
Frederiksberg,55.67501,12.50694,Entire home/apt,500,2
Frederiksberg,55.68598,12.52995,Entire home/apt,1117,1
Indre By,55.69549,12.57946,Entire home/apt,2000,5
Vanlse,55.69334,12.50765,Entire home/apt,725,1
Vesterbro-Kongens Enghave,55.6693,12.55454,Entire home/apt,960,2
sterbro,55.69674,12.59483,Entire home/apt,1900,5
Amager Vest,55.62286,12.57446,Private room,750,2
Frederiksberg,55.68455,12.55085,Entire home/apt,800,5
Brnshj-Husum,55.70392,12.4825,Private room,744,2
sterbro,55.70499,12.57794,Private room,900,3
Indre By,55.6824,12.58234,Entire home/apt,1000,4
Amager Vest,55.65539,12.60105,Entire home/apt,260,2
sterbro,55.70825,12.57186,Entire home/apt,263,5
Brnshj-Husum,55.70898,12.4578,Entire home/apt,900,4
Amager st,55.65714,12.60942,Entire home/apt,846,4
Indre By,55.68333,12.61024,Entire home/apt,2000,3
sterbro,55.72856,12.5657,Entire home/apt,999,4
Frederiksberg,55.68489,12.53302,Entire home/apt,660,2
Amager Vest,55.65901,12.60008,Entire home/apt,399,2
Brnshj-Husum,55.71294,12.5073,Private room,350,5
Frederiksberg,55.685801382887,12.5309760805908,Entire home/apt,721,5
Vesterbro-Kongens Enghave,55.66537,12.54359,Entire home/apt,1200,4
Nrrebro,55.69225,12.55832,Entire home/apt,699,4
Indre By,55.67968,12.5923,Entire home/apt,908,3
sterbro,55.71614,12.58009,Entire home/apt,1000,5
Valby,55.67287,12.48791,Entire home/apt,850,1
Vesterbro-Kongens Enghave,55.66934,12.55367,Entire home/apt,800,4
Amager st,55.66774,12.61557,Entire home/apt,800,4
Nrrebro,55.69785,12.54005,Entire home/apt,645,4
Vesterbro-Kongens Enghave,55.66349,12.55196,Entire home/apt,1140,3
sterbro,55.71001,12.58297,Entire home/apt,490,1
Frederiksberg,55.68024,12.54723,Entire home/apt,1200,3
Nrrebro,55.69375,12.54565,Entire home/apt,749,4
Bispebjerg,55.70334,12.53453,Entire home/apt,679,1
Nrrebro,55.69748,12.54574,Entire home/apt,690,1
Amager st,55.6668,12.61775,Entire home/apt,900,2
Vesterbro-Kongens Enghave,55.65893,12.53721,Entire home/apt,650,3
Nrrebro,55.68455,12.55478,Entire home/apt,1000,4
Amager st,55.6594,12.61317,Entire home/apt,800,5
Nrrebro,55.68455,12.55929,Entire home/apt,980,1
Valby,55.66504,12.50947,Entire home/apt,550,1
Amager Vest,55.62231,12.56931,Entire home/apt,650,1
Vesterbro-Kongens Enghave,55.66937,12.55639,Entire home/apt,1457,5
Bispebjerg,55.72111,12.54848,Entire home/apt,550,4
Amager st,55.66709,12.61606,Entire home/apt,900,5
Amager Vest,55.64571,12.59415,Entire home/apt,1500,4
Indre By,55.67855,12.57692,Entire home/apt,1300,3
sterbro,55.7063,12.58229,Entire home/apt,650,4
Amager st,55.66334,12.61505,Entire home/apt,650,5
Vesterbro-Kongens Enghave,55.658,12.5361,Entire home/apt,950,3
Indre By,55.6771,12.59614,Private room,700,2
Amager Vest,55.66777,12.59438,Entire home/apt,899,5
Amager Vest,55.65527,12.58894,Entire home/apt,550,5
Vesterbro-Kongens Enghave,55.66905,12.54528,Entire home/apt,650,5
Indre By,55.68746,12.57405,Entire home/apt,1700,2
Vesterbro-Kongens Enghave,55.65551,12.53648,Private room,450,5
Indre By,55.68308,12.56422,Entire home/apt,1195,3
Amager Vest,55.64997,12.60952,Entire home/apt,1050,5
Vesterbro-Kongens Enghave,55.64762,12.52627,Entire home/apt,600,1
Valby,55.65654,12.50342,Entire home/apt,900,4
sterbro,55.71212,12.57151,Entire home/apt,700,1
Nrrebro,55.69868,12.55264,Entire home/apt,900,1
Vesterbro-Kongens Enghave,55.67336,12.5503,Private room,450,1
Nrrebro,55.69984,12.53806,Entire home/apt,800,2
Indre By,55.67158,12.5916,Private room,575,1
Frederiksberg,55.67602,12.53626,Private room,480,5
Nrrebro,55.6978,12.54837,Entire home/apt,500,5
Frederiksberg,55.67965,12.54838,Entire home/apt,950,3
Indre By,55.67714,12.56759,Entire home/apt,588,3
Bispebjerg,55.69823,12.52871,Entire home/apt,650,5
sterbro,55.69869,12.57795,Entire home/apt,600,2
Amager Vest,55.65568,12.60251,Entire home/apt,440,1
Frederiksberg,55.69285,12.53193,Entire home/apt,477,4
Nrrebro,55.70071,12.54832,Private room,500,4
Nrrebro,55.69596,12.54668,Entire home/apt,692,1
Amager Vest,55.66243,12.59895,Entire home/apt,807,2
sterbro,55.71074,12.56835,Private room,699,3
Indre By,55.67915,12.60317,Entire home/apt,1100,4
Frederiksberg,55.68394,12.53418,Entire home/apt,1200,2
Nrrebro,55.69392,12.53939,Entire home/apt,801,2
Vesterbro-Kongens Enghave,55.66857,12.5559,Private room,650,3
Frederiksberg,55.68332,12.53305,Entire home/apt,700,4
Frederiksberg,55.68931,12.52776,Entire home/apt,1600,2
Vesterbro-Kongens Enghave,55.66359,12.54383,Entire home/apt,1100,1
Indre By,55.68406,12.5634,Entire home/apt,1500,4
Amager Vest,55.65966,12.57084,Entire home/apt,1014,5
Amager st,55.65667,12.62309,Entire home/apt,2500,4
Amager Vest,55.62026,12.5752,Private room,350,4
Indre By,55.67798,12.58308,Entire home/apt,1451,1
Indre By,55.67833,12.57194,Entire home/apt,947,1
sterbro,55.70802,12.55851,Entire home/apt,800,1
sterbro,55.70656,12.55965,Entire home/apt,567,2
Indre By,55.6954632791291,12.5888842913008,Entire home/apt,1840,3
Amager Vest,55.66431,12.57976,Entire home/apt,1100,5
Amager st,55.647,12.62128,Private room,500,4
Indre By,55.67252,12.57281,Entire home/apt,1995,3
Indre By,55.68131,12.59295,Entire home/apt,1500,4
sterbro,55.70802,12.57065,Entire home/apt,465,2
Amager st,55.66287,12.61567,Entire home/apt,650,2
Vesterbro-Kongens Enghave,55.64923,12.55421,Private room,400,5
sterbro,55.70874,12.5692,Private room,386,1
Frederiksberg,55.68244,12.54273,Private room,402,1
Indre By,55.67821,12.56924,Entire home/apt,1129,3
Amager st,55.66173,12.60695,Entire home/apt,1107,4
Amager st,55.66343,12.61625,Private room,343,3
Vesterbro-Kongens Enghave,55.64803,12.53506,Entire home/apt,1700,2
Indre By,55.67514,12.5975,Entire home/apt,900,1
Valby,55.66569,12.5017,Private room,850,3
Vesterbro-Kongens Enghave,55.67057,12.55274,Entire home/apt,831,4
sterbro,55.72528,12.57357,Private room,650,5
Brnshj-Husum,55.70798,12.51176,Private room,479,2
Amager Vest,55.64662,12.59532,Entire home/apt,1000,2
Valby,55.64817,12.50489,Private room,250,5
Indre By,55.6754,12.59906,Entire home/apt,800,1
Indre By,55.68441,12.58287,Private room,740,5
Amager Vest,55.65954,12.60246,Entire home/apt,836,5
Vesterbro-Kongens Enghave,55.6671,12.55115,Entire home/apt,950,5
Nrrebro,55.693,12.56668,Entire home/apt,1300,3
Nrrebro,55.68792,12.5449,Entire home/apt,1607,5
Indre By,55.68451,12.56491,Entire home/apt,1700,4
Indre By,55.67573,12.57338,Entire home/apt,63226,1
Frederiksberg,55.67342,12.54813,Entire home/apt,1400,5
Vanlse,55.69562,12.46911,Entire home/apt,1000,3
Vesterbro-Kongens Enghave,55.65015,12.55096,Entire home/apt,900,2
sterbro,55.70146,12.5795,Private room,750,3
Valby,55.66824,12.50803,Entire home/apt,565,2
sterbro,55.70092,12.58449,Entire home/apt,1195,2
Amager Vest,55.63511,12.58022,Private room,457,2
Bispebjerg,55.71964,12.54812,Private room,100,2
Amager Vest,55.61737,12.56767,Entire home/apt,1000,1
Vesterbro-Kongens Enghave,55.66598,12.54653,Private room,607,1
Bispebjerg,55.70039,12.53587,Entire home/apt,900,3
Vesterbro-Kongens Enghave,55.64926,12.54986,Entire home/apt,980,3
Frederiksberg,55.68254,12.53597,Entire home/apt,600,3
Vesterbro-Kongens Enghave,55.67062,12.56237,Private room,1356,2
Brnshj-Husum,55.70979,12.46659,Entire home/apt,1195,2
sterbro,55.71448,12.5632,Entire home/apt,453,4
Amager st,55.66746,12.61642,Entire home/apt,700,2
Nrrebro,55.6956,12.54348,Entire home/apt,1000,4
Nrrebro,55.70357,12.54686,Entire home/apt,905,2
Vesterbro-Kongens Enghave,55.64894,12.54898,Entire home/apt,1500,1
Frederiksberg,55.68235,12.5509,Entire home/apt,1995,2
Nrrebro,55.68603,12.55888,Entire home/apt,950,5
Nrrebro,55.70334,12.54448,Entire home/apt,500,5
sterbro,55.70997,12.573,Entire home/apt,600,2
Nrrebro,55.69685,12.55012,Entire home/apt,799,1
Amager Vest,55.66126,12.57018,Private room,980,4
Indre By,55.67226,12.57388,Entire home/apt,2000,4
Frederiksberg,55.67151,12.51518,Entire home/apt,621,2
Amager st,55.6687,12.61493,Entire home/apt,700,5
Frederiksberg,55.69638,12.53552,Entire home/apt,550,4
Frederiksberg,55.67463,12.50494,Entire home/apt,1400,4
Bispebjerg,55.71892,12.54302,Entire home/apt,700,4
Indre By,55.68632,12.59072,Entire home/apt,1050,4
Frederiksberg,55.67583,12.54782,Entire home/apt,1700,3
Nrrebro,55.7001,12.54254,Entire home/apt,699,5
Amager st,55.66115,12.60894,Entire home/apt,725,3
Amager Vest,55.65935,12.56847,Entire home/apt,965,5
Vanlse,55.68923,12.50503,Entire home/apt,594,3
Bispebjerg,55.70596,12.53138,Private room,300,2
sterbro,55.70973,12.58366,Entire home/apt,1500,3
Bispebjerg,55.6988,12.53626,Entire home/apt,600,4
sterbro,55.7063,12.56028,Private room,400,4
Indre By,55.68056,12.58094,Private room,446,4
sterbro,55.70858,12.58533,Entire home/apt,700,4
Vesterbro-Kongens Enghave,55.67024,12.54509,Entire home/apt,670,5
Vesterbro-Kongens Enghave,55.66733,12.54937,Entire home/apt,900,1
Indre By,55.67947,12.57707,Entire home/apt,1100,4
Nrrebro,55.68914,12.5606,Private room,600,5
Amager Vest,55.66464,12.59499,Entire home/apt,650,1
sterbro,55.69569,12.57309,Entire home/apt,650,3
Frederiksberg,55.67921,12.54863,Entire home/apt,1340,3
Vanlse,55.70124,12.51969,Entire home/apt,500,3
Vesterbro-Kongens Enghave,55.67076,12.54609,Entire home/apt,600,5
Valby,55.6544,12.52027,Entire home/apt,1100,4
Vesterbro-Kongens Enghave,55.6724,12.55959,Entire home/apt,900,4
sterbro,55.71295,12.5748,Entire home/apt,849,3
Vesterbro-Kongens Enghave,55.66484,12.5549,Entire home/apt,1200,1
Valby,55.66547,12.52052,Entire home/apt,864,1
Frederiksberg,55.67031,12.50012,Entire home/apt,621,1
Vesterbro-Kongens Enghave,55.66843,12.55335,Entire home/apt,2450,5
Bispebjerg,55.70481,12.5286,Entire home/apt,400,1
Bispebjerg,55.70617,12.53032,Entire home/apt,700,3
sterbro,55.70103,12.5814,Entire home/apt,850,2
Indre By,55.67519,12.5679,Entire home/apt,1856,1
Vesterbro-Kongens Enghave,55.65018,12.5409,Private room,350,4
sterbro,55.7101,12.56203,Entire home/apt,1000,2
Frederiksberg,55.68231,12.53591,Entire home/apt,800,4
Bispebjerg,55.72181,12.52823,Entire home/apt,700,5
sterbro,55.70992,12.58098,Entire home/apt,650,4
Frederiksberg,55.68232,12.52803,Entire home/apt,1500,3
Indre By,55.68712,12.59246,Entire home/apt,4400,3
Frederiksberg,55.6706,12.50912,Entire home/apt,999,4
Vesterbro-Kongens Enghave,55.66613,12.54657,Entire home/apt,1010,5
Amager Vest,55.65963,12.56965,Entire home/apt,1346,4
Nrrebro,55.69569,12.53999,Entire home/apt,967,3
Valby,55.66562,12.52233,Entire home/apt,540,4
Frederiksberg,55.67963,12.54783,Entire home/apt,820,5
Indre By,55.67678,12.57701,Entire home/apt,1050,3
Bispebjerg,55.70322,12.538,Hotel room,221,2
sterbro,55.70213,12.58786,Entire home/apt,1100,4
Vesterbro-Kongens Enghave,55.66787,12.54571,Entire home/apt,980,4
sterbro,55.71523,12.57226,Entire home/apt,404,1
Amager st,55.66475,12.61629,Entire home/apt,837,4
Nrrebro,55.6893,12.55655,Private room,1000,3
Amager st,55.65565,12.62797,Private room,550,5
Indre By,55.67471,12.59842,Private room,450,3
Indre By,55.68174,12.58537,Entire home/apt,1500,5
Brnshj-Husum,55.70341,12.48892,Entire home/apt,1500,2
sterbro,55.70288,12.58873,Entire home/apt,643,3
sterbro,55.70279,12.57583,Entire home/apt,1700,5
Vesterbro-Kongens Enghave,55.66897,12.55098,Entire home/apt,500,1
sterbro,55.69817,12.58581,Entire home/apt,1300,2
Vesterbro-Kongens Enghave,55.64438,12.52571,Entire home/apt,500,2
Indre By,55.68121,12.57509,Entire home/apt,1900,5
Amager Vest,55.64655,12.59031,Entire home/apt,841,3
Indre By,55.68485,12.61519,Private room,1200,5
Amager st,55.66268,12.61245,Entire home/apt,500,3
sterbro,55.71409,12.57536,Entire home/apt,1600,4
Bispebjerg,55.70335,12.528,Private room,321,2
Amager st,55.66403,12.60257,Entire home/apt,950,4
Vesterbro-Kongens Enghave,55.64489,12.5351,Private room,295,1
Valby,55.65188,12.50911,Entire home/apt,585,5
Frederiksberg,55.673,12.53991,Entire home/apt,1150,3
Bispebjerg,55.70351,12.52661,Private room,344,5
Vesterbro-Kongens Enghave,55.66531,12.54363,Private room,590,4
Nrrebro,55.69502,12.53981,Entire home/apt,800,1
Nrrebro,55.69968,12.53818,Entire home/apt,600,5
sterbro,55.7039,12.58422,Entire home/apt,782,5
sterbro,55.70053,12.58979,Entire home/apt,700,1
Valby,55.65456,12.49999,Entire home/apt,975,3
Valby,55.66643,12.51653,Entire home/apt,950,5
Valby,55.65955,12.48255,Entire home/apt,500,2
Brnshj-Husum,55.70311,12.50413,Entire home/apt,909,1
sterbro,55.7067,12.5873,Entire home/apt,1279,4
Vesterbro-Kongens Enghave,55.66988,12.54904,Entire home/apt,900,5
Amager Vest,55.66354,12.60043,Entire home/apt,949,3
Nrrebro,55.69914,12.5512,Entire home/apt,600,2
Nrrebro,55.70075,12.54836,Entire home/apt,795,5
Frederiksberg,55.67854,12.51535,Entire home/apt,1499,5
Amager Vest,55.63905,12.60012,Entire home/apt,900,4
Amager Vest,55.6451,12.58893,Entire home/apt,999,2
Nrrebro,55.6966,12.55341,Entire home/apt,1000,1
Frederiksberg,55.67061,12.53754,Private room,500,4
Amager st,55.64737,12.61923,Private room,550,5
Amager Vest,55.62223,12.57499,Entire home/apt,1700,3
sterbro,55.69389,12.56942,Private room,1200,1
Nrrebro,55.69317,12.55385,Entire home/apt,1100,3
Amager st,55.66734,12.59818,Private room,2000,4
Bispebjerg,55.7007690317232,12.5241813551413,Entire home/apt,800,4
Nrrebro,55.69427,12.55421,Entire home/apt,520,5
Bispebjerg,55.72733,12.52166,Entire home/apt,1500,3
Vesterbro-Kongens Enghave,55.67304,12.55986,Entire home/apt,1155,3
sterbro,55.70031,12.5944,Entire home/apt,1100,4
Indre By,55.68698,12.59678,Entire home/apt,4548,3
Vesterbro-Kongens Enghave,55.66642,12.54019,Entire home/apt,875,3
Frederiksberg,55.67887,12.54601,Entire home/apt,1143,5
Vesterbro-Kongens Enghave,55.66632,12.54207,Entire home/apt,1300,3
Nrrebro,55.68574,12.56051,Entire home/apt,800,1
sterbro,55.70053,12.57966,Entire home/apt,1714,2
Nrrebro,55.70066,12.54167,Entire home/apt,697,5
Vesterbro-Kongens Enghave,55.66128,12.56301,Entire home/apt,638,3
Nrrebro,55.68941,12.55328,Private room,450,4
Vesterbro-Kongens Enghave,55.6678,12.53949,Entire home/apt,1500,4
Amager st,55.66629,12.61436,Entire home/apt,700,2
sterbro,55.71529,12.57596,Entire home/apt,800,1
Vesterbro-Kongens Enghave,55.65804,12.56218,Entire home/apt,1034,5
Nrrebro,55.69256,12.54471,Entire home/apt,950,5
Vesterbro-Kongens Enghave,55.66803,12.55692,Entire home/apt,1770,4
sterbro,55.70713,12.58309,Entire home/apt,1100,5
Nrrebro,55.68941,12.5626,Private room,564,1
Indre By,55.69396,12.58362,Entire home/apt,700,2
Indre By,55.66949,12.60053,Private room,582,4
Amager Vest,55.62839,12.58632,Entire home/apt,850,2
Frederiksberg,55.67369,12.55475,Entire home/apt,1042,1
Nrrebro,55.68908,12.55518,Entire home/apt,2000,1
Amager Vest,55.63175,12.58172,Entire home/apt,750,2
Vesterbro-Kongens Enghave,55.66814,12.55022,Private room,429,5
Valby,55.66271,12.51432,Entire home/apt,1300,2
Amager st,55.66373,12.60265,Entire home/apt,339,2
Bispebjerg,55.70481,12.52217,Entire home/apt,380,1
Vesterbro-Kongens Enghave,55.66839,12.55722,Entire home/apt,800,2
Amager Vest,55.65544,12.6035,Entire home/apt,700,1
Bispebjerg,55.7056,12.53781,Entire home/apt,550,2
Indre By,55.68478,12.58249,Entire home/apt,800,2
Amager st,55.66241,12.62131,Private room,600,1
Indre By,55.6781,12.56962,Entire home/apt,1500,1
Bispebjerg,55.7076,12.52014,Entire home/apt,501,1
Nrrebro,55.69896,12.53879,Entire home/apt,880,5
Frederiksberg,55.68647,12.53882,Entire home/apt,380,4
Vesterbro-Kongens Enghave,55.64866,12.55059,Private room,470,3
Amager Vest,55.62296,12.57284,Entire home/apt,1117,5
Indre By,55.67735,12.57541,Entire home/apt,1157,1
Indre By,55.68528,12.58298,Entire home/apt,1200,2
Vesterbro-Kongens Enghave,55.67184,12.55854,Entire home/apt,700,1
Nrrebro,55.70114,12.55029,Entire home/apt,650,1
Frederiksberg,55.68643,12.50704,Private room,550,4
Valby,55.668,12.51553,Entire home/apt,500,4
Vesterbro-Kongens Enghave,55.64596,12.5543,Private room,662,4
Vesterbro-Kongens Enghave,55.67068,12.55244,Entire home/apt,799,1
Amager st,55.65107,12.63131,Entire home/apt,1004,3
Vesterbro-Kongens Enghave,55.67028,12.5586,Entire home/apt,999,3
Vesterbro-Kongens Enghave,55.66813,12.55611,Entire home/apt,1800,4
Indre By,55.68041,12.59229,Entire home/apt,3199,5
Vesterbro-Kongens Enghave,55.65834,12.56049,Entire home/apt,950,1
Nrrebro,55.69122,12.55991,Entire home/apt,750,2
Nrrebro,55.70763,12.55316,Private room,329,4
sterbro,55.70661,12.58682,Entire home/apt,1068,5
Vanlse,55.70071,12.52039,Entire home/apt,950,5
Valby,55.65455,12.50251,Entire home/apt,1000,2
Vesterbro-Kongens Enghave,55.65244,12.54562,Entire home/apt,600,4
Nrrebro,55.69351,12.56093,Entire home/apt,890,5
Vesterbro-Kongens Enghave,55.64691,12.54998,Entire home/apt,2800,5
Indre By,55.68277,12.57242,Entire home/apt,3000,2
Frederiksberg,55.69708,12.5367,Entire home/apt,800,5
Bispebjerg,55.70522,12.5269,Entire home/apt,850,1
Frederiksberg,55.68728,12.53026,Entire home/apt,810,3
Nrrebro,55.68874,12.56114,Entire home/apt,1249,4
Frederiksberg,55.69478,12.53399,Entire home/apt,600,2
Vesterbro-Kongens Enghave,55.67338,12.55775,Private room,499,4
sterbro,55.70682,12.584,Private room,750,2
Amager st,55.66802,12.61262,Entire home/apt,1000,4
sterbro,55.69526,12.57103,Entire home/apt,680,2
Amager Vest,55.66749,12.57769,Entire home/apt,850,1
Vesterbro-Kongens Enghave,55.67023,12.55557,Entire home/apt,650,4
Vesterbro-Kongens Enghave,55.6654,12.54724,Entire home/apt,635,2
Bispebjerg,55.70037,12.52548,Entire home/apt,800,2
Vesterbro-Kongens Enghave,55.67032,12.56217,Private room,950,1
sterbro,55.69902,12.57693,Entire home/apt,1100,3
Frederiksberg,55.67699,12.54008,Entire home/apt,850,4
Frederiksberg,55.6723458389544,12.4994628794657,Entire home/apt,900,4
Indre By,55.67585,12.59851,Entire home/apt,721,2
Frederiksberg,55.68498,12.5461,Entire home/apt,1900,5
Frederiksberg,55.67714,12.54889,Entire home/apt,800,5
Amager st,55.65075,12.62665,Entire home/apt,1000,2
Amager st,55.65586,12.61278,Entire home/apt,498,2
Amager Vest,55.62186,12.57188,Private room,300,4
Amager Vest,55.62183,12.57075,Private room,290,5
Vesterbro-Kongens Enghave,55.67091,12.56357,Entire home/apt,1194,4
Vesterbro-Kongens Enghave,55.67091,12.56357,Entire home/apt,1846,5
Vesterbro-Kongens Enghave,55.67091,12.56357,Entire home/apt,1289,1
Amager Vest,55.66695,12.5761,Entire home/apt,1793,3
Vesterbro-Kongens Enghave,55.65335,12.5368,Entire home/apt,700,3
Nrrebro,55.69242,12.56067,Entire home/apt,1400,4
Vesterbro-Kongens Enghave,55.67002,12.56962,Entire home/apt,995,1
Indre By,55.68592,12.5663,Entire home/apt,1250,5
Indre By,55.6912,12.57322,Entire home/apt,1114,2
Vesterbro-Kongens Enghave,55.64983,12.53026,Entire home/apt,615,3
Nrrebro,55.69072,12.54618,Entire home/apt,2000,4
Amager Vest,55.65735,12.56643,Entire home/apt,2224,4
Amager st,55.65617,12.61511,Entire home/apt,600,2
Vesterbro-Kongens Enghave,55.64926,12.55094,Entire home/apt,1000,5
Amager st,55.66,12.6127,Entire home/apt,813,1
Frederiksberg,55.68609,12.53547,Entire home/apt,893,4
Amager st,55.65458,12.61445,Entire home/apt,399,4
Indre By,55.67917,12.5762,Entire home/apt,1609,4
Vanlse,55.68453,12.48573,Entire home/apt,529,3
Vesterbro-Kongens Enghave,55.6679,12.53804,Entire home/apt,1500,1
Amager Vest,55.61877,12.57388,Private room,300,4
Nrrebro,55.6884,12.55429,Entire home/apt,1500,4
Nrrebro,55.69638,12.54033,Entire home/apt,650,2
Frederiksberg,55.67366,12.54077,Entire home/apt,1000,1
Bispebjerg,55.70802,12.53898,Entire home/apt,800,4
sterbro,55.71156,12.57336,Private room,599,5
Indre By,55.67776,12.57832,Entire home/apt,1400,3
Nrrebro,55.70254,12.54006,Entire home/apt,800,3
Indre By,55.68285,12.56332,Entire home/apt,2000,4
Indre By,55.68062,12.57497,Entire home/apt,1486,2
Frederiksberg,55.67851,12.53426,Entire home/apt,2000,2
Amager st,55.66398,12.61232,Entire home/apt,600,5
Nrrebro,55.69606,12.55073,Entire home/apt,900,1
Vesterbro-Kongens Enghave,55.66889,12.54814,Entire home/apt,777,4
Amager st,55.65434,12.61216,Entire home/apt,643,4
Indre By,55.67033,12.57174,Private room,500,5
Vesterbro-Kongens Enghave,55.66627,12.54491,Entire home/apt,780,2
Indre By,55.67824,12.57761,Entire home/apt,1600,4
Nrrebro,55.70167,12.54686,Entire home/apt,500,2
Amager Vest,55.64829,12.61018,Entire home/apt,620,2
Indre By,55.68238,12.5769,Private room,368,1
Vesterbro-Kongens Enghave,55.64968,12.54742,Entire home/apt,1499,2
Vesterbro-Kongens Enghave,55.67159,12.56402,Entire home/apt,1200,1
sterbro,55.70888,12.6021,Entire home/apt,800,3
sterbro,55.70135,12.58711,Entire home/apt,967,3
Indre By,55.67265,12.59372,Private room,580,5
Vesterbro-Kongens Enghave,55.66791,12.54752,Entire home/apt,800,5
Frederiksberg,55.68285,12.55195,Private room,1150,3
sterbro,55.71313,12.57686,Entire home/apt,500,4
Vesterbro-Kongens Enghave,55.6469,12.54864,Entire home/apt,1004,1
sterbro,55.70724,12.59546,Entire home/apt,2200,4
Indre By,55.67906,12.59157,Entire home/apt,999,3
Vesterbro-Kongens Enghave,55.67179,12.55511,Private room,703,1
Frederiksberg,55.68764,12.53085,Entire home/apt,509,2
Vanlse,55.69372,12.49983,Entire home/apt,351,1
Indre By,55.67864,12.56149,Entire home/apt,1000,5
Amager st,55.65066,12.62547,Private room,200,4
Frederiksberg,55.68264,12.50836,Entire home/apt,720,4
Vanlse,55.68362,12.48336,Entire home/apt,520,4
Amager st,55.66538,12.60279,Entire home/apt,900,4
Valby,55.6554,12.50954,Entire home/apt,600,2
Vesterbro-Kongens Enghave,55.6662,12.55508,Entire home/apt,799,2
Vesterbro-Kongens Enghave,55.66503,12.54905,Entire home/apt,1264,5
Indre By,55.67562,12.59696,Private room,350,3
Amager Vest,55.65569,12.56553,Entire home/apt,1050,1
Vesterbro-Kongens Enghave,55.67053,12.54457,Entire home/apt,790,5
Amager st,55.66617,12.59967,Private room,465,5
Nrrebro,55.69302,12.54472,Entire home/apt,557,4
Vesterbro-Kongens Enghave,55.64801,12.52507,Entire home/apt,1000,4
sterbro,55.71003,12.58108,Entire home/apt,1000,4
Nrrebro,55.69641,12.54311,Entire home/apt,1100,3
Valby,55.66458,12.50678,Entire home/apt,998,2
sterbro,55.71182,12.56603,Entire home/apt,750,4
Frederiksberg,55.68472,12.54071,Entire home/apt,900,4
Valby,55.66562,12.48756,Entire home/apt,1000,1
Brnshj-Husum,55.69869,12.47966,Entire home/apt,1356,4
Vesterbro-Kongens Enghave,55.644653,12.552111,Entire home/apt,638,4
Nrrebro,55.69522,12.55678,Private room,400,4
Amager st,55.66489,12.61738,Entire home/apt,700,1
Indre By,55.67937,12.59216,Entire home/apt,831,3
sterbro,55.70417,12.5779,Entire home/apt,500,5
sterbro,55.69849,12.59417,Entire home/apt,899,2
Indre By,55.69617,12.58289,Entire home/apt,1200,4
Valby,55.66223,12.51844,Entire home/apt,650,1
sterbro,55.69757,12.57689,Entire home/apt,1390,5
sterbro,55.70025,12.58596,Entire home/apt,1000,1
sterbro,55.69922,12.58049,Private room,1286,1
Brnshj-Husum,55.70979,12.4801,Entire home/apt,310,3
Nrrebro,55.69227,12.54424,Entire home/apt,799,4
Frederiksberg,55.67735,12.51445,Entire home/apt,4500,1
Nrrebro,55.68954,12.56115,Entire home/apt,1750,3
Valby,55.6584,12.51126,Entire home/apt,600,2
Nrrebro,55.69298,12.54382,Entire home/apt,800,1
Vesterbro-Kongens Enghave,55.66881,12.55016,Entire home/apt,900,2
Vesterbro-Kongens Enghave,55.64433,12.53614,Private room,350,4
Vesterbro-Kongens Enghave,55.66744,12.53996,Entire home/apt,1200,3
Indre By,55.67909,12.56952,Entire home/apt,800,5
Indre By,55.68824,12.58964,Entire home/apt,3000,3
Amager st,55.66345,12.60148,Entire home/apt,360,3
sterbro,55.70949,12.56941,Entire home/apt,800,1
Frederiksberg,55.6762,12.54253,Entire home/apt,1242,3
Frederiksberg,55.68575,12.54548,Entire home/apt,629,4
Indre By,55.67927,12.57842,Entire home/apt,1729,2
Bispebjerg,55.71041,12.5297,Entire home/apt,650,3
