neighbourhood,latitude,longitude,room_type,price,stars
Nrrebro,55.6926,12.56091,Entire home/apt,744,1
Frederiksberg,55.67661,12.53022,Entire home/apt,950,1
Vesterbro-Kongens Enghave,55.6457,12.5276,Entire home/apt,330,4
Indre By,55.67475,12.59797,Entire home/apt,1143,1
Brnshj-Husum,55.70007,12.49747,Entire home/apt,1095,3
Amager st,55.66178,12.6134,Entire home/apt,430,2
Vesterbro-Kongens Enghave,55.67304,12.55202,Entire home/apt,980,3
Bispebjerg,55.69934,12.53611,Entire home/apt,1187,5
Indre By,55.67632,12.59742,Entire home/apt,629,4
Indre By,55.68551,12.56956,Entire home/apt,1400,5
Frederiksberg,55.68741,12.53626,Private room,372,2
Indre By,55.68366,12.56922,Entire home/apt,967,4
Amager Vest,55.66715,12.58081,Private room,550,2
Vanlse,55.69365,12.47458,Entire home/apt,800,4
Indre By,55.68466,12.58722,Entire home/apt,850,3
Nrrebro,55.68676,12.5515,Private room,450,3
Bispebjerg,55.71081,12.54369,Entire home/apt,383,4
Indre By,55.68282,12.55976,Entire home/apt,1050,1
Frederiksberg,55.67853,12.5306,Entire home/apt,800,1
sterbro,55.7113,12.55654,Entire home/apt,1657,3
Indre By,55.67685,12.58813,Entire home/apt,3500,5
Indre By,55.67738,12.57508,Entire home/apt,1100,5
Nrrebro,55.69367,12.5501,Entire home/apt,829,2
Vesterbro-Kongens Enghave,55.67005,12.54928,Entire home/apt,1100,3
sterbro,55.69968,12.58717,Entire home/apt,850,4
Vesterbro-Kongens Enghave,55.67031,12.54103,Entire home/apt,717,5
Vesterbro-Kongens Enghave,55.67207,12.55263,Entire home/apt,986,2
Vesterbro-Kongens Enghave,55.64638,12.54805,Entire home/apt,1300,3
Vesterbro-Kongens Enghave,55.66746,12.55341,Entire home/apt,893,4
Nrrebro,55.68689,12.54626,Private room,250,4
Vesterbro-Kongens Enghave,55.67004,12.55434,Entire home/apt,900,4
Nrrebro,55.68731,12.54213,Entire home/apt,850,1
Amager st,55.66832,12.61391,Entire home/apt,998,3
Indre By,55.68009,12.57909,Entire home/apt,1236,3
Nrrebro,55.68817,12.56324,Entire home/apt,1093,4
Amager Vest,55.63389,12.58718,Entire home/apt,600,1
Amager st,55.6513,12.62587,Entire home/apt,850,5
Vesterbro-Kongens Enghave,55.66538,12.54683,Entire home/apt,650,3
Frederiksberg,55.68212,12.55363,Entire home/apt,1771,3
Amager st,55.66819,12.61596,Private room,1090,3
Amager Vest,55.66627,12.58742,Entire home/apt,1200,3
Vesterbro-Kongens Enghave,55.66783,12.5559,Entire home/apt,850,5
Vesterbro-Kongens Enghave,55.67113,12.54277,Entire home/apt,850,3
Vesterbro-Kongens Enghave,55.67097,12.54301,Entire home/apt,1495,3
Indre By,55.68125,12.56157,Entire home/apt,4500,5
Indre By,55.68441,12.56456,Entire home/apt,1042,2
Nrrebro,55.6881,12.54617,Entire home/apt,744,5
Indre By,55.67122,12.59291,Entire home/apt,723,3
Frederiksberg,55.67975,12.55145,Private room,484,3
Vesterbro-Kongens Enghave,55.66759,12.55138,Entire home/apt,1398,1
Frederiksberg,55.67674,12.5086,Entire home/apt,1300,1
Nrrebro,55.69717,12.54779,Entire home/apt,750,2
Nrrebro,55.69775,12.55435,Entire home/apt,1004,1
Vesterbro-Kongens Enghave,55.67131,12.54935,Entire home/apt,1711,3
sterbro,55.70196,12.57807,Entire home/apt,700,3
Nrrebro,55.69253,12.54685,Private room,450,5
Amager Vest,55.63536,12.57723,Private room,388,1
Indre By,55.68226,12.57235,Entire home/apt,900,3
Indre By,55.67715,12.58899,Entire home/apt,1108,1
Vesterbro-Kongens Enghave,55.66524,12.54816,Entire home/apt,563,5
Indre By,55.69035,12.5746,Entire home/apt,1800,3
Nrrebro,55.69606,12.54336,Entire home/apt,1450,3
Indre By,55.69664,12.57914,Entire home/apt,1500,5
Vanlse,55.68756,12.48761,Private room,400,4
Indre By,55.69132,12.57137,Entire home/apt,1200,5
Vesterbro-Kongens Enghave,55.66882,12.54821,Entire home/apt,1000,2
Amager st,55.67756,12.62798,Entire home/apt,315,2
Vesterbro-Kongens Enghave,55.67315,12.55527,Private room,449,5
Bispebjerg,55.70134,12.5236,Entire home/apt,1300,3
Nrrebro,55.69799,12.5385,Entire home/apt,850,1
Vesterbro-Kongens Enghave,55.67013,12.54243,Entire home/apt,1000,2
Indre By,55.67935,12.56813,Entire home/apt,1138,5
Frederiksberg,55.67818,12.55559,Entire home/apt,1500,4
sterbro,55.7292,12.56982,Entire home/apt,3000,5
Brnshj-Husum,55.71068,12.50761,Entire home/apt,1100,4
Frederiksberg,55.67487,12.54104,Private room,490,5
Vesterbro-Kongens Enghave,55.66044,12.54496,Private room,450,1
Vesterbro-Kongens Enghave,55.66841,12.55127,Entire home/apt,750,5
Vesterbro-Kongens Enghave,55.66737,12.55769,Entire home/apt,1600,5
